          ;        5117;   ;Filtro    ;Inicio                                  ;09122015      ;002133;190.161.236.99 ;OK ;                    ;Inicio de filtrado                                                      
          ;        5117;   ;Filtro    ;tbk_param.txt                           ;09122015      ;002133;190.161.236.99 ;OK ;                    ;Archivo parseado                                                        
          ;        5117;   ;Filtro    ;Terminado                               ;09122015      ;002133;190.161.236.99 ;OK ;                    ;Datos Filtrados con exito                                               
963849342 ;        5117;   ;pago      ;inicio                                  ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;Parseo realizado                                                        
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;Datos en datos/tbk_config.dat                                           
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;Mac generado                                                            
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;Construccion TBK_PARAM                                                  
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;TBK_PARAM encriptado                                                    
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;Datos listos para ser enviados                                          
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002133;190.161.236.99 ;OK ;597026007976        ;Medio 1: Transaccion segura                                             
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002135;190.161.236.99 ;OK ;597026007976        ;Datos validados                                                         
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002135;190.161.236.99 ;OK ;597026007976        ;Token=ef0cf2b01db2db7236ec487ee18a5ccde7f497f784afb59897bdf78de929bc80  
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002135;190.161.236.99 ;OK ;597026007976        ;Redireccion web                                                         
963849342 ;        5117;   ;pago      ;https://certificacion.webpay.cl         ;09122015      ;002135;190.161.236.99 ;OK ;597026007976        ;Todo OK                                                                 
          ;        5118;   ;resultado ;Desencriptando                          ;09122015      ;002153;200.10.12.55   ;OK ;                    ;TBK_PARAM desencriptado                                                 
          ;        5118;   ;resultado ;Validacion                              ;09122015      ;002153;200.10.12.55   ;OK ;                    ;Entidad emisora de los datos validada                                   
          ;        5118;   ;resultado ;OC_20151209022130                       ;09122015      ;002153;200.10.12.55   ;OK ;                    ;Parseo de los datos                                                     
          ;        5118;   ;resultado ;OC_20151209022130                       ;09122015      ;002153;200.10.12.55   ;OK ;                    ;http://45.55.187.70/cierre.php                                          
963849342 ;        5118;   ;transacc  ;963849342                               ;09122015      ;002153;200.10.12.55   ;OK ;597026007976        ;conectandose al port :(80)                                              
963849342 ;        5118;   ;resultado ;logro abrir_conexion                    ;09122015      ;002153;200.10.12.55   ; 0 ;597026007976        ;Abrio socket para conex-com                                             
